Sample_ID,Valid_Length,RMSD_Angstroms,Full_dRMSD,Helix_dRMSD,Sheet_dRMSD,GDT_TS,TM_Score,Q3_Accuracy,Top-L/2_Prec
19902,190,34.2851,21.0006,2.1601,1.0648,0.0000,0.0430,0.4105,0.0000
19903,176,40.7673,30.0227,1.8608,0.4204,0.0071,0.0421,0.4205,0.0682
19904,187,33.4877,20.6315,1.3068,nan,0.0067,0.0399,0.5936,0.0108
19905,117,39.2106,32.5640,nan,0.6122,0.0000,0.0268,0.1197,0.0000
19906,173,22.3886,11.3369,1.5630,1.3932,0.0260,0.1026,0.2659,0.0000
19907,183,17.5366,8.9279,0.2336,0.4727,0.0861,0.2098,0.6995,0.0330
19908,200,13.3723,4.6844,0.2290,nan,0.0900,0.2440,0.5250,0.0000
19909,175,16.3569,10.2605,nan,0.4349,0.0343,0.1483,0.4000,0.0000
19910,200,18.7382,10.6052,0.3033,0.2726,0.0150,0.1249,0.6150,0.0200
19911,160,32.3204,18.1123,0.9806,nan,0.0047,0.0418,0.7438,0.0000
19912,200,26.7281,16.6122,0.4548,0.3837,0.0088,0.0768,0.7050,0.3300
19913,200,17.3906,8.8171,0.2715,0.3063,0.0213,0.1414,0.7150,0.0900
19914,166,22.2864,12.0128,1.5098,0.6400,0.0105,0.0837,0.2590,0.0000
19915,200,13.3240,8.5178,0.4568,0.4018,0.0438,0.1887,0.6000,0.0500
19916,177,21.6833,18.8262,0.9420,0.4603,0.0071,0.0894,0.4350,0.2614
19917,192,16.8094,9.3025,0.5259,0.5953,0.0794,0.2130,0.4323,0.0104
19918,185,15.1069,5.3485,0.7832,nan,0.0676,0.2013,0.7135,0.1630
19919,149,16.4960,8.2255,0.7256,1.0730,0.0201,0.1113,0.0872,0.0000
19920,182,16.2392,7.3772,0.9513,0.2281,0.0769,0.1987,0.2308,0.0220
19921,200,18.4330,7.4814,0.3280,0.1837,0.0288,0.1428,0.6750,0.0000
19922,142,21.1895,12.3505,0.4468,0.5686,0.0246,0.0945,0.3944,0.0000
19923,168,16.4736,8.4386,0.6442,0.3639,0.0283,0.1351,0.3095,0.1429
19924,200,15.2810,8.2028,0.4358,nan,0.0587,0.1876,0.6450,0.0400
19925,88,17.2035,10.6706,nan,nan,0.0312,0.0675,0.0000,0.0000
19926,194,26.4367,19.1488,0.5126,0.5638,0.0232,0.1041,0.6082,0.0000
19927,174,19.6441,11.2706,0.6788,0.3849,0.0445,0.1282,0.3908,0.1264
19928,196,21.7510,11.2387,0.3038,0.3027,0.0408,0.1317,0.6837,0.0510
19929,120,16.2515,11.2016,1.5605,nan,0.0458,0.1319,0.2917,0.1667
19930,184,21.3723,15.5186,1.2960,0.4232,0.0231,0.1181,0.2120,0.0000
19931,196,47.0345,32.5844,0.8689,0.4480,0.0000,0.0202,0.5000,0.0612
19932,157,30.5076,16.9126,1.1349,0.6524,0.0064,0.0464,0.2166,0.1026
19933,196,22.0024,15.2594,0.4288,0.4149,0.0000,0.0758,0.7449,0.1327
19934,160,13.2949,7.8090,1.4056,0.4218,0.0828,0.2073,0.2062,0.0000
19935,155,29.2061,19.3542,0.9524,nan,0.0210,0.0818,0.6000,0.0130
19936,181,20.8431,10.5107,0.4034,0.4156,0.0083,0.0863,0.5359,0.0333
19937,176,22.8834,16.0023,0.6713,0.5253,0.0270,0.1181,0.4432,0.0909
19938,181,17.9357,8.2619,1.0033,nan,0.0525,0.1633,0.4917,0.0778
19939,154,20.7655,9.9730,0.3235,0.5832,0.0244,0.0977,0.4091,0.2208
19940,184,25.5260,21.8428,1.3199,nan,0.0163,0.0773,0.6848,0.1196
19941,182,40.3626,22.7244,0.9736,0.4400,0.0000,0.0231,0.5549,0.0000
19942,193,42.9196,36.2104,0.7672,0.6190,0.0052,0.0353,0.3523,0.0104
19943,103,23.3531,20.6437,0.7160,nan,0.0000,0.0376,0.0971,0.2941
19944,160,16.5557,10.5946,0.1636,0.4578,0.0531,0.1573,0.3000,0.0125
19945,179,15.5106,8.0976,1.0100,0.2319,0.0419,0.1726,0.3296,0.0787
19946,113,33.3577,31.8242,0.9385,0.7070,0.0088,0.0305,0.1858,0.0000
19947,200,24.0680,10.9823,0.4130,0.2180,0.0112,0.0896,0.6850,0.2800
19948,200,22.7689,11.5199,0.3880,0.4551,0.0100,0.0919,0.5800,0.0300
19949,121,12.2472,7.1897,1.2892,0.3584,0.0764,0.1733,0.0496,0.0000
19950,150,20.0260,9.3582,0.6620,0.3297,0.0167,0.0974,0.2667,0.0400
19951,146,22.3766,12.6234,0.2515,0.7564,0.0240,0.0896,0.4863,0.0137
19952,200,42.4745,37.4270,0.4465,nan,0.0000,0.0253,0.7750,0.0300
19953,193,29.5368,16.6764,0.6311,1.7757,0.0026,0.0553,0.5285,0.0417
19954,194,44.9818,37.7776,0.4940,0.6974,0.0026,0.0290,0.5722,0.1753
19955,167,15.7330,6.7959,0.6075,0.5520,0.0329,0.1433,0.3293,0.0120
19956,196,23.8543,12.3387,0.3232,nan,0.0013,0.0736,0.6582,0.0000
19957,195,34.3705,27.1317,1.2634,1.0408,0.0000,0.0439,0.4821,0.0000
19958,162,14.4183,6.0070,0.8393,0.3118,0.0633,0.1979,0.3395,0.0247
19959,186,27.4167,23.3425,1.6364,nan,0.0417,0.1199,0.6989,0.2258
19960,177,30.0191,14.9357,nan,nan,0.0113,0.0686,0.2260,0.0000
19961,196,23.9648,18.8978,0.4236,0.2711,0.0089,0.0837,0.6735,0.1939
19962,190,22.1782,9.7429,0.4787,0.5064,0.0329,0.1236,0.3737,0.0632
19963,196,20.5304,12.1002,0.3153,0.3448,0.0293,0.1347,0.6224,0.1531
19964,200,19.4856,8.6099,0.3763,nan,0.0400,0.1434,0.7050,0.1300
19965,170,19.5388,14.5038,0.5434,0.5178,0.0176,0.0925,0.3000,0.0235
19966,192,29.0807,22.1920,0.5174,0.6191,0.0182,0.0754,0.5104,0.0625
19967,173,17.1460,8.7845,0.9807,0.2876,0.0592,0.1642,0.2081,0.0349
19968,200,19.9507,11.0161,0.5792,0.4826,0.0387,0.1467,0.6650,0.2100
19969,200,18.9141,8.1897,0.2679,0.2610,0.0288,0.1304,0.6450,0.0200
19970,175,18.5982,9.1959,0.6914,nan,0.0243,0.1192,0.6514,0.0690
19971,160,32.4795,21.9531,1.7469,0.5629,0.0172,0.0717,0.2625,0.0000
19972,194,19.8690,12.7557,0.4822,0.4854,0.0399,0.1437,0.5567,0.2062
19973,172,13.7738,7.5040,0.6773,0.3032,0.0770,0.2090,0.2849,0.2442
19974,200,19.8505,8.8036,0.2872,0.3573,0.0138,0.1154,0.6450,0.0700
19975,193,19.6780,7.9179,0.5432,0.5152,0.0130,0.1334,0.5699,0.0312
19976,194,16.4312,9.9064,0.3521,0.5003,0.0412,0.1651,0.6237,0.2165
19977,125,30.5367,18.4849,nan,0.6526,0.0140,0.0694,0.5440,0.1774
19978,153,17.6267,9.8262,1.3219,0.2248,0.0425,0.1424,0.2745,0.0132
19979,200,31.2044,21.8194,0.3690,0.6734,0.0013,0.0626,0.6350,0.0200
19980,158,15.5828,11.2150,0.7803,0.3872,0.0348,0.1384,0.2911,0.3924
19981,192,18.4954,9.2610,0.4713,0.9235,0.0286,0.1289,0.5052,0.2083
19982,192,41.2684,36.7758,0.5404,0.9707,0.0013,0.0437,0.3281,0.0000
19983,180,15.2914,9.1588,1.0386,0.3042,0.0458,0.1827,0.4000,0.0556
19984,164,21.4167,11.2923,0.7762,0.9048,0.0046,0.0868,0.3110,0.1341
19985,195,25.8820,15.1231,1.7440,nan,0.0000,0.0881,0.8000,0.1856
19986,189,33.6481,25.6704,0.9655,0.6872,0.0040,0.0508,0.5291,0.0106
19987,189,19.1358,9.9337,0.5776,0.4453,0.0463,0.1548,0.5503,0.0106
19988,167,19.3479,13.1751,1.0724,0.5836,0.0749,0.1749,0.2994,0.1446
19989,200,30.9423,26.2623,0.2911,0.5473,0.0013,0.0515,0.5900,0.0200
19990,200,58.9854,58.3869,1.3494,0.7711,0.0000,0.0177,0.4350,0.0000
19991,146,18.2421,9.5095,1.2718,0.2124,0.0908,0.1852,0.2945,0.0548
19992,200,21.6507,12.6663,0.3479,0.4648,0.0175,0.1006,0.6350,0.2300
19993,165,22.1401,9.1128,0.2826,0.3172,0.0409,0.1405,0.5758,0.0244
19994,200,37.8442,26.2802,0.6866,0.5451,0.0000,0.0461,0.6850,0.0200
19995,167,15.1494,6.5136,0.4614,0.2912,0.0569,0.1791,0.3772,0.0361
19996,200,39.5080,25.3243,0.4488,0.5544,0.0037,0.0438,0.6200,0.0400
19997,200,20.5630,11.8162,0.2762,0.2107,0.0150,0.1102,0.7050,0.0900
19998,175,18.5198,10.4141,0.9600,nan,0.0357,0.1355,0.4571,0.0690
19999,185,23.8707,16.0770,nan,nan,0.0608,0.1567,0.1459,0.0978
20000,196,18.6786,10.3280,0.3510,0.3091,0.0140,0.1079,0.6888,0.0204
20001,200,19.2058,10.4879,0.2884,0.3218,0.0100,0.1013,0.6350,0.1000
